"filename", "language", "Makefile", "Markdown", "Assembler file", "JSON", "C", "Python", "C++", "comment", "blank", "total"
"c:\Users\代凡\Documents\代码\system\lindorx\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\代凡\Documents\代码\system\lindorx\Makefile", "Makefile", 110, 0, 0, 0, 0, 0, 0, 39, 33, 182
"c:\Users\代凡\Documents\代码\system\lindorx\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\代凡\Documents\代码\system\lindorx\bin\makefile", "Makefile", 13, 0, 0, 0, 0, 0, 0, 2, 4, 19
"c:\Users\代凡\Documents\代码\system\lindorx\boot\boot.asm", "Assembler file", 0, 0, 77, 0, 0, 0, 0, 0, 16, 93
"c:\Users\代凡\Documents\代码\system\lindorx\boot\fun32.inc", "Assembler file", 0, 0, 394, 0, 0, 0, 0, 0, 28, 422
"c:\Users\代凡\Documents\代码\system\lindorx\boot\head.asm", "Assembler file", 0, 0, 320, 0, 0, 0, 0, 0, 25, 345
"c:\Users\代凡\Documents\代码\system\lindorx\boot\interrupt.inc", "Assembler file", 0, 0, 281, 0, 0, 0, 0, 0, 46, 327
"c:\Users\代凡\Documents\代码\system\lindorx\boot\lk.c", "C", 0, 0, 0, 0, 59, 0, 0, 7, 8, 74
"c:\Users\代凡\Documents\代码\system\lindorx\boot\macro.inc", "Assembler file", 0, 0, 184, 0, 0, 0, 0, 0, 61, 245
"c:\Users\代凡\Documents\代码\system\lindorx\boot\makefile", "Makefile", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\代凡\Documents\代码\system\lindorx\boot\mlka.py", "Python", 0, 0, 0, 0, 0, 41, 0, 1, 8, 50
"c:\Users\代凡\Documents\代码\system\lindorx\dev\int.c", "C", 0, 0, 0, 0, 326, 0, 0, 55, 27, 408
"c:\Users\代凡\Documents\代码\system\lindorx\dev\lx.c", "C", 0, 0, 0, 0, 1709, 0, 0, 92, 150, 1951
"c:\Users\代凡\Documents\代码\system\lindorx\dev\lxmem.c", "C", 0, 0, 0, 0, 17, 0, 0, 1, 2, 20
"c:\Users\代凡\Documents\代码\system\lindorx\dev\lxstack.c", "C", 0, 0, 0, 0, 20, 0, 0, 3, 2, 25
"c:\Users\代凡\Documents\代码\system\lindorx\dev\makefile", "Makefile", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\代凡\Documents\代码\system\lindorx\disasm\makefile", "Makefile", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\代凡\Documents\代码\system\lindorx\include\_asm.h", "C++", 0, 0, 0, 0, 0, 0, 153, 16, 23, 192
"c:\Users\代凡\Documents\代码\system\lindorx\include\cpu.h", "C++", 0, 0, 0, 0, 0, 0, 19, 4, 4, 27
"c:\Users\代凡\Documents\代码\system\lindorx\include\disk.h", "C++", 0, 0, 0, 0, 0, 0, 3, 1, 0, 4
"c:\Users\代凡\Documents\代码\system\lindorx\include\elf-em.h", "C++", 0, 0, 0, 0, 0, 0, 38, 3, 2, 43
"c:\Users\代凡\Documents\代码\system\lindorx\include\elf32.h", "C++", 0, 0, 0, 0, 0, 0, 120, 23, 19, 162
"c:\Users\代凡\Documents\代码\system\lindorx\include\errno.h", "C++", 0, 0, 0, 0, 0, 0, 6, 1, 1, 8
"c:\Users\代凡\Documents\代码\system\lindorx\include\file.h", "C++", 0, 0, 0, 0, 0, 0, 26, 4, 7, 37
"c:\Users\代凡\Documents\代码\system\lindorx\include\fs\glovar.h", "C++", 0, 0, 0, 0, 0, 0, 53, 11, 5, 69
"c:\Users\代凡\Documents\代码\system\lindorx\include\fs\lx.h", "C++", 0, 0, 0, 0, 0, 0, 166, 102, 28, 296
"c:\Users\代凡\Documents\代码\system\lindorx\include\fs\lxerror.h", "C++", 0, 0, 0, 0, 0, 0, 49, 34, 4, 87
"c:\Users\代凡\Documents\代码\system\lindorx\include\fs\lxmem.h", "C++", 0, 0, 0, 0, 0, 0, 4, 1, 0, 5
"c:\Users\代凡\Documents\代码\system\lindorx\include\fs\lxstack.h", "C++", 0, 0, 0, 0, 0, 0, 4, 1, 0, 5
"c:\Users\代凡\Documents\代码\system\lindorx\include\fs\lxstruct.h", "C++", 0, 0, 0, 0, 0, 0, 160, 20, 16, 196
"c:\Users\代凡\Documents\代码\system\lindorx\include\gdt.h", "C++", 0, 0, 0, 0, 0, 0, 65, 9, 9, 83
"c:\Users\代凡\Documents\代码\system\lindorx\include\gfp.h", "C++", 0, 0, 0, 0, 0, 0, 30, 11, 25, 66
"c:\Users\代凡\Documents\代码\system\lindorx\include\idt.h", "C++", 0, 0, 0, 0, 0, 0, 37, 4, 4, 45
"c:\Users\代凡\Documents\代码\system\lindorx\include\initsi.h", "C++", 0, 0, 0, 0, 0, 0, 27, 8, 10, 45
"c:\Users\代凡\Documents\代码\system\lindorx\include\int.h", "C++", 0, 0, 0, 0, 0, 0, 19, 3, 7, 29
"c:\Users\代凡\Documents\代码\system\lindorx\include\lapic.h", "C++", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\代凡\Documents\代码\system\lindorx\include\ldt.h", "C++", 0, 0, 0, 0, 0, 0, 28, 25, 2, 55
"c:\Users\代凡\Documents\代码\system\lindorx\include\macro.h", "C++", 0, 0, 0, 0, 0, 0, 55, 16, 16, 87
"c:\Users\代凡\Documents\代码\system\lindorx\include\malloc.h", "C++", 0, 0, 0, 0, 0, 0, 5, 4, 1, 10
"c:\Users\代凡\Documents\代码\system\lindorx\include\math.h", "C++", 0, 0, 0, 0, 0, 0, 8, 5, 1, 14
"c:\Users\代凡\Documents\代码\system\lindorx\include\mem.h", "C++", 0, 0, 0, 0, 0, 0, 4, 8, 4, 16
"c:\Users\代凡\Documents\代码\system\lindorx\include\memory.h", "C++", 0, 0, 0, 0, 0, 0, 81, 36, 27, 144
"c:\Users\代凡\Documents\代码\system\lindorx\include\mmu.h", "C++", 0, 0, 0, 0, 0, 0, 2, 180, 3, 185
"c:\Users\代凡\Documents\代码\system\lindorx\include\mp.h", "C++", 0, 0, 0, 0, 0, 0, 54, 6, 8, 68
"c:\Users\代凡\Documents\代码\system\lindorx\include\page.h", "C++", 0, 0, 0, 0, 0, 0, 73, 35, 25, 133
